,poseidon adventure,Just keep on crawling across the basin,Start,,,,
,temmujin,How long have you been on?,,,,,
,poseidon adventure,"Since this morning, on and off. I try to keep an eye on things. Can’t really sleep more than 3 hours anyway.",,,,,
,temmujin,You stay up all night for this? Nothing ever happens…,,,,,
,poseidon adventure,No?,,,,,
,temmujin,Feels I’ve been here watching this thing crawl for long enough ,,,,,
,poseidon adventure,When it turns it’ll turn from subtrop to megacat levels in a few hours,,,,,
,temmujin,You ever seen one of those?,,,,,
,poseidon adventure,"Yeah, the last time Miami went down. lost most of my portfolio that day. Felt pretty rough. Amazing though.",,,,,
,temmujin,"Damn, sorry to hear it.",,,,,
,poseidon adventure,"It’s fine, I learned a lot and made it back. The energy in the room back then was intense, though, I miss it. Some of the older folks here straight up retired that day, I haven’t seen them since.",,,,,
,temmujin,It’ll be years before another hit on Miami now,,,,,
,poseidon adventure,"Probably, you never know, the market gets antsy whenever we bring the eye within 200 miles of south beach",,,,,
,temmujin,"Yeah, but it’s been so calm lately",,,,,
,poseidon adventure,"Touch wood! :) I know what you mean, it’s been hard to make much progress on these last few cycles. A lot of folks have gone back to regular stocks.",,,,,
,temmujin,"You’re still here though, you never get the feeling you’re just waiting for nothing to happen?",,,,,
,poseidon adventure,Not when there’s money to lose!,,,,,
,temmujin,sure,End,,,,
,Boxerdogz,"hurr durr ""muh global warming crisis""",Start,,,,
,Boxerdogz,muh global cataclysm,,,,,
,Boxerdogz,hurr muh Big Bang/earth has been here 4.5billion years,,,,,
,Boxerdogz,hurrrrrr muh evolution God isn't real but the Universe is infinitely large and even though I haven't been to every point in space and time to look for God I can tell you right now that there is no God,,,,,
,Boxerdogz,HUURRRR CLIMATE CHANGE NIGHTMARE,,,,,
,Boxerdogz,IF WE JUST VOTE BLUE THE NIGHTMARE WILL END,End,,,,
,JasperTheMonkeyGod,How’s everyone feeling today?!,Start,,,,
,Henchard,Chem trails are real and are effecting the climate. Jet contrails dropped globally which saw a spike in UV rays. The fuel contains higher levels of Sulphur compared to commercial fuel which is refined with Cobalt to remove the impurities.,,,,,
,Cyan,OK! ,,,,,
,aceta,Why should I care about sea raising and global warming if I'll be dead in around 55 years??,,,,,
,Cyan,👍👍👍👍👍👍,,,,,
,Henchard,We've hurt the atmosphere to a where now we have to inject Sulphur into the air to cool the climate.,,,,,
,rvm,"I believe we should pollute less. But I always get accused of being a dumb climate change believer when I say this, so...",,,,,
,JasperTheMonkeyGod,Bring it on I say,,,,,
,Cyan,…,,,,,
,temmujin,Have you noticed the trees started growing at different rates later into the year and it's October but they're still green?,,,,,
,temmujin,"The tree at the bottom of my yard is still in full bloom. It's barely yellowed, it's barely shed any leaves. Trees in the neighborhood are all in the same state. They're always half bare by the middle of September. Always.",,,,,
,,"That must be the 'Global Cooling' then. Just like we were told on here, by 'sceptics'. Remember?",,,,,
,temmujin,"They bloomed a lot later this year too, way into middle and late April.",,,,,
,temmujin,Why is this happening? This year of all years. What the fuck is happening to the world? I'm fucking scared.,,,,,
,Blueish,"i think we're definitely in for an ice age, just not before climate change gives the planet a nice toasting.",,,,,
,temmujin,"We're IN the Ice Age! The current plateau of the past 10,000-12,000 years (Holocene era) is ending and we're leveling off into cooler ages.",,,,,
,Blueish,"Climate change in action. We did this to ourselves. Want something scarier? The ice caps are on fire. Look up ""zombie fires"".",,,,,
,aceta,Be more worried about the heat death of the universe than any incoming ICE-IS Age.,,,,,
,Cyanise,ISIS? lol,End,,,,
,Woody,earlier expectations have been downgraded to a depression,Start,,,,
,redjacklang,Sounds ominous..,End,,,,
,Hand Brake,why the fuck is Europe so geographically boring?,Start,,,,
,.Rangabear,"Meteorologically yes, they actually have a lot of rocks though",,,,,
,naive98,That’s why I stay on the north atlantic cat servers,,,,,
,Hand Brake,How the fuck does anyone make insurance money there?,,,,,
,johnnymac,"Fires and floods, mostly. Fire insurance started with the Hamburg guilds: https://en.wikipedia.org/wiki/Hamburger_Feuerkasse",,,,,
,bolshie,"Lol that’s why all the reinsurers are in Europe, no danger of getting wiped out",,,,,
,.Rangabear,Except for the Netherlands which is underwater…,,,,,
,naive98,"I always wondered that, Swiss re, munich re…",,,,,
,redjacklang,Nazi gold,,,,,
,Hand Brake,"Lol you joke but my great-grandmother actually had some, I’ve got an SS letter opener on the desk here",,,,,
,bolshie,Jesus Hand Brake,,,,,
,Hand Brake,"Check out Maeslant Barrier, it blocks the entire port of Rotterdam",,,,,
,bolshie,Try that with Florida Bay…,End,,,,
,bahamas,Ooh what’s going on here then?,Start,,,,
,Hand Brake,Oi oi,,,,,
,Woody,The future my friend.,End,,,,
,libs,DO NOT TRUST THIS TRADER,Start,,,,
,libs,Ponderosa is well known as a compulsive liar making all sorts of ridiculous claims.,,,,,
,libs,"he tries to get others to follow him, in theory supporting a note's price, by claiming to hold vast amounts of notes (well, it must be good then), and claiming to have worked as a senior broker for one of the big insurance houses.",,,,,
,libs,Nothing but a fraud and a liar...and a serial loser.,,,,,
,libs,"Dont just take my word for it, plenty on here will back me up, on this",,,,,
,libs,Best ignored.,End,,,,
,johnnymac,OK someone is going to have to explain this to me,Start,,,,
,Jumper,What is going on here??,,,,,
,rvm,All the buys are sells…,,,,,
,Seneca,Boys I think we’ve got a shorter in our midst,,,,,
,Yak,How do you short a hurricane???,,,,,
,Seneca,"No idea, but these prices are way off",,,,,
,johnnymac,"In short (pun intended) it’s the same with any other security, you just take a sell position on borrowed notes and scrape it all up from the bottom",,,,,
,Seneca,"But the weather doesn’t care about your position, if you end up with a megacat you’re screwed",,,,,
,johnnymac,Didn’t say it doesn’t come with a heavy risk,,,,,
,Yak,Buying up all the black swans ,,,,,
,Yak,Brb making foie gras,End,,,,
,City Chappy,"As much as I marvel at these storms and how fast they strengthen, this one has me a bit nervous. This storm is barely going over land before it hits the main part of the gulf, not to mention RI has already started. Really hoping it does not hit the NOLA area.",Start,,,,
,czar,It would be great if the gulf of mexico would slow the hell down or better yet cool the hell down,,,,,
,Seneca,"Boy, everyone who called coronavirus ""Trump's Katrina"" is gonna have egg on their face.",End,,,,
,libs,"As predicted, the tosser is still posting.",Start,,,,
,libs,"What a boring, predictable fucking clown.",,,,,
,libs,Attention seeking at it's worst.,,,,,
,czar,Take it easy maestro,End,,,,
,marsden584,What’s the weather like?,Start,,,,
,hondy,"Quite pleasant in Surrey. Now that the new contract has turned out to be a misunderstanding , I trust that the prof will be doing the decent thing and walking away as promised. Otherwise he might lead others to label him lying filth or lying scum.",,,,,
,marsden584,Oof.,,,,,
,Seneca,Let’s all just make a little money between friends and keep it civil.,End,,,,
,marsden584,any weather today ?,Start,,,,
,Seneca,"not yet, this one’s just got started",,,,,
,Seneca,If the windspeed keeps up over the gulf I’m hoping for a good one,,,,,
,marsden584,"Not bad, not like you to buy this early. ",,,,,
,Seneca,the missus is threatening divorce I may as well lose the money before she get it  :)),,,,,
,marsden584,"Doomer logic, I’m here for it :))",,,,,
,Seneca,You bet,End,,,,
,big yankee dealer,Feels like deja vu…,Start,,,,
,pictureframe,Maybe we’ve literally been watching the same storm play out for a thousand years,,,,,
,Bantam175,We kind of *literally* have??,,,,,
,monkey58,In that case shouldn’t all future storms be priced in?,,,,,
,Bantam175,"That’d be nice, we wouldn’t have to watch this crap unfold live",,,,,
,lyceeuk,And you’d all have to move back into your mom’s basement,,,,,
,Wapper,Lmao,,,,,
,Bantam175,Speak for yourself @lyceeuk,,,,,
,W1NDJAMMER,If all the storms were priced in there’d be no market…,,,,,
,Bantam175,"You’re looking at one spread of the future here, but the prices will tells you if there’s another one in the works",,,,,
,big yankee dealer,"Like I say, deja vu",,,,,
,W1NDJAMMER,Or at least the ones that we know about,,,,,
,SpectoAcc,So what happens to the insurance if the market doesn’t buy in?,,,,,
,W1NDJAMMER,"If there’s no-one here to take on the risk, the risk has to stay where it is",,,,,
,Wapper,Then there’s no insurance,,,,,
,W1NDJAMMER,Sure,,,,,
,Wapper,Or they just pay up more until someone buys in,,,,,
,Bantam175,"Who’s buying shares in titanic? Big lad, sailing tomorrow",,,,,
,,lmao,,,,,
,tomboyb,If the price is right :),,,,,
,Bantam175,"I mean, everyone did it in 1909 right?",,,,,
,hibberts,Gentlemen please,End,,,,
,Seneca,Looks like we’re in for a busy season boys,Start,,,,
,Bantam175,Haha do you know something we don’t?,,,,,
,tomboyb,Seneca’s got insider info on the weather,,,,,
,Wapper,"Someone call the SEC, no, the EPA, or the NHC, maybe just call god",,,,,
,Seneca,Snitches get stitches,,,,,
,sloano,Skin in the game mate buy some numbers and then we’ll believe you,,,,,
,Seneca,I’m fully loaded up!,,,,,
,Bantam175,I want to believe I’m so fucking bored,,,,,
,Seneca,life’s tough on the trust fund eh hehehe,,,,,
,tomboyb,"If you only knew, man I’m 34 and living with 6 roommates",,,,,
,Bantam175,I’m living with my dad but he needs the company,,,,,
,Seneca,Good lad,,,,,
,tomboyb,Mind you a few more cats in the bag and I can finally eat my way out of my college debt,,,,,
,Wapper,Just a few cats more… that’s what Seneca said two years ago lol,End,,,,
,poseidon adventure,Every time there’s a near miss you guys are so silent,Start,,,,
,poseidon adventure,it’s like watching a bunch of slack-jawed millenarians on the day after the meteor was supposed to hit earth,,,,,
,poseidon adventure,It was so close to making a megacat!,End,,,,
,hibberts,Surely the downsides are priced in to the wider market,Start,,,,
,Seneca,"I think the downside isn't built in just yet; plenty of businesses have gone down 95% after a catastrophe. I'm sure the people here are well aware of the risks and have taken steps, but it might be wise for shareholders to hedge some/most/all of their holding, but that's just a passing thought, not advice, 'cause I'm not an advisor and my guesses are often plain wrong.",,,,,
,Seneca,Cat bonds are pretty young still too,,,,,
,idoflykathy,Probably cause the losses are limitless,,,,,
,Seneca,Yes.,,,,,
,Seneca,Good luck everyone :)),End,,,,
,g2theary,"Noob here, do they have models for this or is it just crude guessing?",Start,,,,
,tomboyb,"A bit of both, I think",,,,,
,Seneca,"these movement are based on historic wind/insurance models, not physical climate models",,,,,
,,Don’t they use the same meteorology simulations?,,,,,
,LINTON5,Historic loss data,,,,,
,Seneca,"Sort of, but the insurance models are only built to predict the next year’s season. It’s just historic weather – they don’t care about emissions, and they don’t have a measure of the climate itself changing.",,,,,
,g2theary,And the price is built off of that,,,,,
,LINTON5,"Yeah, the price represents the collateralised value at risk for a major cat event, or the expected losses across the industry that season.",,,,,
,g2theary,And if the climate changes?,,,,,
,LINTON5,shh,,,,,
,LINTON5,"The contracts are only per season, so…it doesn’t make much difference for now",,,,,
,g2theary,Cats are getting more frequent it feels like,,,,,
,LINTON5,"Maybe, but there’s too much pressure from the market to keep premiums low too",,,,,
,LINTON5,"Surely, the cost of hurricane insurance must make it worthwhile to consider a re-location.",,,,,
,Seneca,"Probably, but the market keeps growing every year so it seems like the homeowners are staying put",End,,,,
,tsmith2,I’ve got this thing in my finger,Start,,,,
,tsmith2,"My hand looks fine otherwise, but one finger is completely white",,,,,
,tsmith2,"And then, after a while, it goes into the next finger",,,,,
,Seneca,You wanna get that checked out,,,,,
,tsmith2,Yeah…,End,,,,
,LINTON5,My lavender died again this year,Start,,,,
,LINTON5,Last year my daughter gave it 2 and half litres of water a day,,,,,
,LINTON5,And by the third day it died,,,,,
,g2theary,Aw lol,,,,,
,idoflykathy,The guilt will pass!,,,,,
,g2theary,A few solid gains makes it go down nice and easy,End,,,,
,Galaxy Enforcer,Anyone see that??,Start,,,,
,Seneca,Happens twice a day…,,,,,
,tsmith2,"Server glitch I think, ",,,,,
,Galaxy Enforcer,Kinda makes my skin crawl tbh,End,,,,
,Seneca,"In the span of the last hour I found that I mysteriously lost $5000, and then discovered I gained an entirely different $5000.",Start,,,,
,Seneca,Do I keep looking for the original $5000 or just let nature take its course?,,,,,
,big yankee dealer,An airdrop from the fed @seneca,End,,,,
,LINTON5,https://www.foxnews.com/story/transcript-can-diaper-gel-stop-a-hurricane,Start,,,,
,LINTON5,Can diaper gel stop hurricanes?,,,,,
,poseidon adventure,This has been discussed some in some member threads in the past. The short form is:,,,,,
,poseidon adventure,1. You'd need an incredibly huge amount of the stuff;,,,,,
,poseidon adventure,2. You'd have to deal with the environmental consequences of a bazillion tons of goo;,,,,,
,poseidon adventure,3. By the time the hurricane has released the atmospheric latent heat as cloud and precipitation you're rather late in the thermodynamic cycle to affect it very much.,,,,,
,sloano,".....This sounds extremely absurd, and foolish. The...idea of this is just..dumb :?",,,,,
,tsmith2,"Will people never learn? Every time I hear of someone's idea to ""stop hurricanes,"" I roll my eyes. None of these innovators seem to realize that they are dealing with a system far more sophisticated & powerful (in terms of energy released) than scientists can even dream of creating. Don't take my word for it, view the evidence: http://www.aoml.noaa.gov/hrd/tcfaq/D7.html",,,,,
,sloano,"I know I'm preaching to the choir here, but it astonishes me how many people fail to understand that hurricanes are natural phenomenons, that they have been around since the earth had water & atmosphere, and that attempting to stop or control nature always results in consequences that are often worse than the original problem. The best we can do-- study severe weather, work on accurate forecasting, and give ample warning time. ",,,,,
,sloano,"Seriously, he thought diaper gel would stop the forces of nature? It hurts my head to think about a world filled with people like that. ",,,,,
,sloano,(typo: phenomena. Sorry!),,,,,
,sloano,And if it would happen to work...who can honestly say that this wouldn't remove something important from the atmosphere? Hurricanes may be very important to earth and its gas envelope.,,,,,
,sloano, It's a bit tricky to mess with something humans don't fully understand... and never will completely!,End,,,,
,dogeman,every day new opinion lol,Start,,,,
,Wapper,Maybe that's because the markets move and good traders can change bias unemotionally on the charts given to them by the weather gods above,,,,,
,Seneca,"Yes, that's called being a trader. Markets change fast. Hindsight is 2020.",,,,,
,Seneca,You long and short based on the market conditions. That's how smart people make money.,,,,,
,dogeman,Guess that is why i am rekt since 2018 lol,End,,,,
,LINTON5,Swiss Re are in for big ticket claims. Tokyo olympics?,Start,,,,
,Seneca,"It is highly unlikely that Swiss Re would fail as that would be detrimental to world commerce and, frankly pretty cheap in the overall scheme of things if liabilities were underwritten in part through nationalisation should the very worst scenario pan out.",End,,,,
,tomboyb,What’s happening?,Start,,,,
,sloano,"Not much at the moment, storms were brewing but slowing down now",,,,,
,tomboyb,Anyone going in?,,,,,
,sloano,"Yields are too low for now, not worth it",,,,,
,idoflykathy,"Increasingly nothing but trapped collateral in ILS these days, nothing ever happens and then when it does the claims take forever",,,,,
,idoflykathy,"Not enough risk to be worth it, better off buying treasury bonds than waste time chasing weather",,,,,
,sloano,Hmmm,,,,,
,tomboyb,What happens when the risks get too steep for insurance to handle?,,,,,
,sloano,The market finds a way,,,,,
,tomboyb,The market is not going to be able to absorb any amount of risk,,,,,
,Seneca,It’s called diversification don’t you know,,,,,
,tomboyb,Sure it was spread well except for all the times it wasn’t,,,,,
,Yak,"true, you can’t always account for black swans ",,,,,
,Seneca,I think you missed the point there,,,,,
,Seneca,As long as there’s someone who holds a different view of market uncertainty…,,,,,
,johnnymac,ILS capital is growing pretty fast too,,,,,
,johnnymac,Try getting 16.25% yields anywhere else,,,,,
,Yak,OK but suppose there were big losses across the whole insurance market,,,,,
,Yak,Like a megacat,,,,,
,City Chappy,"Each of these could become a megacat, you have to be hedged",,,,,
,czar,Climate change?,,To: a climate branch,,,
,Seneca,Medium term (5y) climate models are already pushing up premiums so something’s going to have to budge,,,,,
,libs,Surely people will have to relocate,,,,,
,michaelsfud,"I’m an underwriter on the reinsurance side and increases of 25-40% were not unusual - my buildings insurance has just been quoted with a 25 % increase no losses, !",,,,,
,Seneca,"Probably, but they’ll still need insurance :)",,,,,
,sloano,"It requires a lot of work to produce chance you know, some of us still need a living :-)",,,,,
,libs,Keep passing the risk along,,,,,
,johnnymac,chomp chomp chomp,End,,,,
,johnnymac,Damn. Trump was right. Finally. Alabama is going to get this hurricane.,Start,,,,
,tsmith2,"They just had Gordon a couple years ago in Mobile, hopefully this one won't have any fatalities",,,,,
,johnnymac,Agreed. A lot of hurricanes seem to be heading to the gulf these last few years. Louisiana is particularly at risk.,,,,,
,tsmith2,"I think part of the problem is that the water temps have been higher in the gulf and that is basically just fuel for these hurricanes. If temps were colder it would help to weaken the systems a bit, but they're just strengthening right before landfall unfortunately. The lack of subtropical ridges to form a blocking pattern also doesn't help, there hasn't been really anything besides the Bermuda Azores High sitting out there.",,,,,
,hondy,Meanwhile it’s barely rained in coastal New England for 4 months.,End,,,,
,michaelsfud,"So called global warming, is a virtue signalers paradise,lol. With no proofs what so ever. But when did virtue signalers ever need proofs?.",Start,,,,
,michaelsfud,There are slight variations in the suns output which cause colder periods. The solar minimums.,,,,,
,michaelsfud,last mini ice age was caused by the wiping out of the red indians according to global cooling deniers...this enabled the forests to recover and suck out co2 from the atmosphere causing global cooling in the 1700's..they really are a bunch of nazi facists trying to keep the GW lie going,,,,,
,grahamite,There are slight variations in the suns output which cause colder periods. The solar minimums.,,,,,
,grahamite,THE GREAT GLOBAL WARMING SWINDLE,,,,,
,blusteradjuster,i see the GW nonces are saying last mini ice age was caused by the white men wiping out the indians which returned the wilderness back to forests which absorbed co2 and made the Earth cooler...have you ever heard so much bullshit apart from pvb's ?,,,,,
,grahamite,Real climate change is caused by the Milancovitch cycles. The orbital cycles of the earth around the sun.,,,,,
,blusteradjuster,Did I not just say that?,,,,,
,grahamite,I suppose that you can always comfort yourself with the knowledge that you're fiscally superior.,,,,,
,blusteradjuster,Blaming co2 is just one huge tax and subsidy scam.,,To: Happy Pills,,,
,grahamite,"It's remarkable how much the warmists have in common with the EU remainers, two belief systems both founded on groundless fears, dishonesty and fanaticism.",,,,,
,blusteradjuster,Both are part of the globalist agenda grahamite.,,,,,
,michaelsfud,New unprecedented global wetting happening in Queensland. I wonder how all that water got into the atmosphere?,,,,,
,moderatethisplantpot,Potatoes and other veg at risk due to climate change,,,,,
,blusteradjuster,"Contrary to alarmist theory, lobsters are thriving in Maine. This is despite warmer water and reduced alkalinity.",,,,,
,moderatethisplantpot,"Ah, but there's nothing new in that, blusteradjuster. Not when you've been around here as long as I have! Seen it all before, many times. Indeed, there's nothing new under the sun when it comes to Deniers. Just replay the same tired old bullshit over and over, for ever.",,,,,
,blusteradjuster,Whatever. Loser.,,,,,
,michaelsfud,Here's another prediction to look back on in 10 years time. I predict another climate fail.,,,,,
,grahamite,"Nah. It's easy peasy! You just Deny the facts, the research and the science. Deny the facts are the facts - 'They are faked.' innit? Deny the research - 'It's all fraudulent.' innit? Deny the science is really science. 'It's pseudo-science.' innit? And last, but not least, you Deny being a Denier! Easy, innit? :-)",End,,,,
,michaelsfud,Lol are you feeling ok today Bluster? Most unlike you to agree with me on anything.,Start,,,,
,blusteradjuster,It was only a small point. Don’t get used to it :),,,,,
,michaelsfud,Ah ok. I thought perhaps your doc had put you on happy pills.,,,,,
,blusteradjuster,"In your dreams…. Nope, I’m just as realistic as ever.",End,,,,
,temmujin,How long left on this one? ,Start,,,,
,blusteradjuster,"Wind speed is dropping, but who knows…",End,,,,
,temmujin,Not much more time to buy in now,Start,,,,
,blusteradjuster,Lucky I filled my pockets :),End,,,,
,grahamite,I’m better off waiting for the next one,Start,,,,
,blusteradjuster,"You might be waiting for a while, why miss out?",End,,,,
,temmujin,This is just taking forever,Start,,,,
,big yankee dealer,And a day,End,,,,
,temmujin,"Fuck, this is worst than day trading",Start,,,,
,big yankee dealer,It’s day trading on the weather…,End,,,,
,temmujin,Is anything even happening?,Start,,,,
,big yankee dealer,Not yet,End,,,,
,Vacant1,Come on,Start,,,,
,Hand Brake,Tempting fate,End,,,,
,p5tvr,Might as well take a punt,Start,,,,
,big yankee dealer,What are you waiting for?,End,,,,
,Yak,Anyone gone in yet?,Start,,,,
,Hand Brake,"Not yet, just keeping an eye",End,,,,
,grahamite,Today is just not my day,Start,,,,
,temmujin,I’m still hoping,End,,,,
,libs,Does anyone have an alternative prediction model on these,Start,,,,
,Seneca,Try the weather channel,End,,,,
,poseidon adventure,Not worth it at that speed until it reaches Miami beach,Start,,,,
,Seneca,Any day now,End,,,,
,Wapper,Who’s feeling lucky??,Start,,,,
,Wapper,:),End,,,,
,sloano,Anyone want to lend me some notes?,Start,,,,
,Seneca,…,End,,,,
,alamaison5,Are any of these predictions real?,Start,,,,
,poseidon adventure,Not until they happen,End,,,,
,temmujin,So bored,Start,,,,
,LINTON5,Who’s keeping you?,End,,,,
,regandharry5,Insider trading…,Start,,,,
,andrbea,On the wind???,End,,,,
,Lobo,I’m going to start doing a rain dance every time I log on,Start,,,,
,J777J,haha,End,,,,
,rakepat37,Anyone here into earthquakes?,Start,,,,
,Seneca,Too slow and predictable…,End,,,,
,justtrying1,Most of these drops are coming from pension funds…,Start,,,,
,tomboyb,They’re just paying 401k into their own insurance?,,,,,
,Seneca,It makes sense if they’re properly diversified,,,,,
,tomboyb,Screwed if a megacat comes in though,,,,,
,Seneca,My treat if that happens!!,End,,,,
,Libs,Foul smell ponderosa is an idiot In The dark. He is not allowed to ask questions.,Start,,,,
,Seneca,Don’t let him get to you… probably the only pleasure he gets in his sad life,,,,,
,tomboyb,I wonder what his family would think if they found out what daddy's financial research consisted of.,,,,,
,tomboyb,I expect a chilly start if I dare to point that out to him.,End,,,,
,dogeman,I heard that droughts are the thing now ,Start,,,,
,poseidon adventure,Insurance penetration still too low,,,,,
,Seneca,Getting better though.,,,,,
,grahamite,"I dunno, but maybe agriculture bonds are into it",End,,,,
,poseidon adventure,280p would be good,Start,,,,
,temmujin,It was overcast in Banstead this morning.,,,,,
,poseidon adventure,Quite hot here in the Maldives !,,,,,
,grahamite,It's crappy in Croydon.,,,,,
,tomboyb,Isnt Banstead near Croydon?,End,,,,
,temmujin,"i would guess so, but am not sure.",Start,,,,
,poseidon adventure,"i would also guess so, but am also not sure.",End,,,,
